COURSE,F25_GRADE_12,F25_GRADE_10,F25_GRADE_7,F25_GRADE_4,F25_GRADE_02,F25_GRADE_00,F25_GRADE_MINUS_3,F25_PASSED,F25_FAILED,F25_ABSENT
28311,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28315,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28316,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28322,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28342,1,11,4,12,7,10,10,No data,No data,6
28344,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28345,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28346,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28350,11,21,32,8,0,0,0,No data,No data,No data
28352,5,10,13,3,0,2,0,No data,No data,3
28361,16,28,25,0,0,2,0,No data,No data,No data
28412,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28420,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28423,2,4,2,4,1,1,0,No data,No data,2
28434,22,13,12,5,2,4,0,No data,No data,3
28443,6,16,4,1,0,0,0,No data,No data,1
28451,6,12,10,0,0,0,0,No data,No data,No data
28455,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28485,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28530,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28720,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28730,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28737,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28745,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28747,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28750,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28751,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28761,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28811,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28831,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28845,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28850,35,64,28,5,0,0,0,No data,No data,1
28852,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28855,17,53,36,5,1,0,0,No data,No data,2
28857,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28870,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28871,1,6,8,7,0,0,0,No data,No data,1
28872,0,1,1,4,0,0,0,No data,No data,No data
28905,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28908,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28909,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28917,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28923,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28927,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
28928,0,2,1,1,0,0,0,No data,No data,1
